id,category,difficulty,points,question,answer,acceptableAnswers,sourceNote
AA_053,Art & Architecture,medium,300,This building or landmark is located in Pisa.,Leaning Tower of Pisa,Leaning Tower of Pisa,Architecture/landmark reference
AA_054,Art & Architecture,medium-hard,400,This building or landmark is located in Kuala Lumpur.,Petronas Towers,Petronas Towers,Architecture/landmark reference
AA_055,Art & Architecture,hard,500,This building or landmark is located in Toronto.,CN Tower,CN Tower,Architecture/landmark reference
AA_056,Art & Architecture,easy,100,This architectural feature is a curved structure spanning an opening.,arch,arch,Art/architecture reference
AA_057,Art & Architecture,easy-medium,200,This vertical support is often round and can hold up a roof.,column,column,Art/architecture reference
AA_058,Art & Architecture,medium,300,This triangular upper part of a classical temple front is called this.,pediment,pediment,Art/architecture reference
AA_059,Art & Architecture,medium-hard,400,This rounded roof form is called this.,dome,dome,Art/architecture reference
AA_060,Art & Architecture,hard,500,This tall narrow tower on a mosque is called this.,minaret,minaret,Art/architecture reference
AA_061,Art & Architecture,easy,100,This is the central aisle area in many churches.,nave,nave,Art/architecture reference
AA_062,Art & Architecture,easy-medium,200,"This is a courtyard surrounded by covered walks, often in monasteries.",cloister,cloister,Art/architecture reference
AA_063,Art & Architecture,medium,300,This is a small model of a planned building.,maquette,maquette,Art/architecture reference
AA_064,Art & Architecture,medium-hard,400,This is the person who designs buildings.,architect,architect,Art/architecture reference
AA_065,Art & Architecture,hard,500,This is a drawing that shows a building from above.,floor plan,floor plan,Art/architecture reference
AA_066,Art & Architecture,easy,100,This type of bridge is supported by cables from tall towers.,suspension bridge,suspension bridge,Art/architecture reference
AA_067,Art & Architecture,easy-medium,200,This type of window uses colored pieces of glass.,stained glass,stained glass,Art/architecture reference
AA_068,Art & Architecture,medium,300,This is a decorative band around a wall near the ceiling.,frieze,frieze,Art/architecture reference
AA_069,Art & Architecture,medium-hard,400,This is the stone at the top center of an arch.,keystone,keystone,Art/architecture reference
AA_070,Art & Architecture,hard,500,This is an outdoor paved area next to a building.,patio,patio,Art/architecture reference
AA_071,Art & Architecture,easy,100,This is a garden feature with water spraying upward.,fountain,fountain,Art/architecture reference
AA_072,Art & Architecture,easy-medium,200,This is the art of designing outdoor spaces and gardens.,landscape architecture,landscape architecture,Art/architecture reference
AA_073,Art & Architecture,medium,300,This is the Japanese art of paper folding.,origami,origami,Art/architecture reference
AA_074,Art & Architecture,medium-hard,400,This is the art of beautiful writing.,calligraphy,calligraphy,Art/architecture reference
AA_075,Art & Architecture,hard,500,This is a woven wall hanging often showing pictures or patterns.,tapestry,tapestry,Art/architecture reference
AA_076,Art & Architecture,easy,100,This color can be described as red and yellow.,orange,orange,Color theory reference
AA_077,Art & Architecture,easy-medium,200,This color can be described as blue and yellow.,green,green,Color theory reference
AA_078,Art & Architecture,medium,300,This color can be described as red and blue.,purple,purple,Color theory reference
AA_079,Art & Architecture,medium-hard,400,This color can be described as red and white.,pink,pink,Color theory reference
AA_080,Art & Architecture,hard,500,This color can be described as black and white.,gray,gray,Color theory reference
AA_081,Art & Architecture,easy,100,This color can be described as often made by mixing complementary colors.,brown,brown,Color theory reference
AA_082,Art & Architecture,easy-medium,200,This color can be described as blue and green.,turquoise,turquoise,Color theory reference
AA_083,Art & Architecture,medium,300,This color can be described as dark red.,maroon,maroon,Color theory reference
AA_084,Art & Architecture,medium-hard,400,This color can be described as dark blue.,navy,navy,Color theory reference
AA_085,Art & Architecture,hard,500,This color can be described as pale sandy brown.,beige,beige,Color theory reference
AA_086,Art & Architecture,easy,100,"The primary colors of light are red, green, and this color.",blue,blue,Art reference
AA_087,Art & Architecture,easy-medium,200,"The primary colors often taught for paint are red, yellow, and this color.",blue,blue,Art reference
AA_088,Art & Architecture,medium,300,A color opposite another on the color wheel is called this.,complementary color,complementary color,Art reference
AA_089,Art & Architecture,medium-hard,400,A single-color artwork uses this kind of color scheme.,monochromatic,monochromatic,Art reference
AA_090,Art & Architecture,hard,500,A quick rough drawing is called this.,sketch,sketch,Art reference
AA_091,Art & Architecture,easy,100,A painting of the artist by the artist is this.,self-portrait,self-portrait,Art reference
AA_092,Art & Architecture,easy-medium,200,A public artwork meant to remember a person or event is this.,monument,monument,Art reference
AA_093,Art & Architecture,medium,300,A museum worker who selects and organizes exhibits is this.,curator,curator,Art reference
AA_094,Art & Architecture,medium-hard,400,A person who restores damaged artworks is this.,conservator,conservator,Art reference
AA_095,Art & Architecture,hard,500,A repeated decorative design is called this.,pattern,pattern,Art reference
AA_096,Art & Architecture,easy,100,Review clue: This art or architecture term means artwork showing a person.,portrait,portrait,Art education reference
AA_097,Art & Architecture,easy-medium,200,Review clue: This art or architecture term means artwork showing scenery.,landscape,landscape,Art education reference
AA_098,Art & Architecture,medium,300,Review clue: This art or architecture term means artwork showing arranged objects.,still life,still life,Art education reference
AA_099,Art & Architecture,medium-hard,400,Review clue: This art or architecture term means large artwork painted on a wall.,mural,mural,Art education reference
AA_100,Art & Architecture,hard,500,Review clue: This art or architecture term means three-dimensional artwork.,sculpture,sculpture,Art education reference
FD_001,Food & Drink,easy,100,This food is strongly associated with Japan.,sushi,sushi,Culinary reference
FD_002,Food & Drink,easy-medium,200,This food is strongly associated with Mexico.,tacos,tacos,Culinary reference
FD_003,Food & Drink,medium,300,This food is strongly associated with Spain.,paella,paella,Culinary reference
FD_004,Food & Drink,medium-hard,400,This food is strongly associated with Italy.,pizza,pizza,Culinary reference
FD_005,Food & Drink,hard,500,This food is strongly associated with France.,croissant,croissant,Culinary reference
FD_006,Food & Drink,easy,100,This food is strongly associated with Korea.,kimchi,kimchi,Culinary reference
FD_007,Food & Drink,easy-medium,200,This food is strongly associated with Thailand.,pad thai,pad thai,Culinary reference
FD_008,Food & Drink,medium,300,This food is strongly associated with Middle East.,hummus,hummus,Culinary reference
FD_009,Food & Drink,medium-hard,400,This food is strongly associated with Canada.,poutine,poutine,Culinary reference
FD_010,Food & Drink,hard,500,This food is strongly associated with United Kingdom.,fish and chips,fish and chips,Culinary reference
FD_011,Food & Drink,easy,100,This food is strongly associated with Poland.,pierogi,pierogi,Culinary reference
FD_012,Food & Drink,easy-medium,200,This food is strongly associated with Middle East.,falafel,falafel,Culinary reference
FD_013,Food & Drink,medium,300,This food is strongly associated with Japan.,ramen,ramen,Culinary reference
FD_014,Food & Drink,medium-hard,400,This food is strongly associated with Vietnam.,pho,pho,Culinary reference
FD_015,Food & Drink,hard,500,This food is strongly associated with India.,curry,curry,Culinary reference
FD_016,Food & Drink,easy,100,This food is strongly associated with Italy.,gelato,gelato,Culinary reference
FD_017,Food & Drink,easy-medium,200,This food is strongly associated with Turkey/Greece region.,baklava,baklava,Culinary reference
FD_018,Food & Drink,medium,300,This food is strongly associated with China.,dim sum,dim sum,Culinary reference
FD_019,Food & Drink,medium-hard,400,This food is strongly associated with Peru.,ceviche,ceviche,Culinary reference
FD_020,Food & Drink,hard,500,This food is strongly associated with Germany.,bratwurst,bratwurst,Culinary reference
FD_021,Food & Drink,easy,100,This cooking term means to cook in bubbling hot water.,boil,boil,Cooking reference
FD_022,Food & Drink,easy-medium,200,This cooking term means to cook gently below a boil.,simmer,simmer,Cooking reference
FD_023,Food & Drink,medium,300,This cooking term means to cook quickly in a little fat.,saute,saute,Cooking reference
FD_024,Food & Drink,medium-hard,400,This cooking term means to cook with dry heat in an oven.,bake,bake,Cooking reference
FD_025,Food & Drink,hard,500,"This cooking term means to cook with dry heat, often uncovered.",roast,roast,Cooking reference
FD_026,Food & Drink,easy,100,This cooking term means to cook over direct heat.,grill,grill,Cooking reference
FD_027,Food & Drink,easy-medium,200,This cooking term means to cook with hot vapor.,steam,steam,Cooking reference
FD_028,Food & Drink,medium,300,This cooking term means to cook slowly with a small amount of liquid.,braise,braise,Cooking reference
FD_029,Food & Drink,medium-hard,400,This cooking term means to soak in seasoned liquid.,marinate,marinate,Cooking reference
FD_030,Food & Drink,hard,500,This cooking term means to work dough by folding and pressing.,knead,knead,Cooking reference
FD_031,Food & Drink,easy,100,This cooking term means to beat rapidly to add air or mix.,whisk,whisk,Cooking reference
FD_032,Food & Drink,easy-medium,200,This cooking term means to cut into small cubes.,dice,dice,Cooking reference
FD_033,Food & Drink,medium,300,This cooking term means to cut into thin matchsticks.,julienne,julienne,Cooking reference
FD_034,Food & Drink,medium-hard,400,This cooking term means to cut very finely.,mince,mince,Cooking reference
FD_035,Food & Drink,hard,500,This cooking term means to outer colored peel of citrus.,zest,zest,Cooking reference
FD_036,Food & Drink,easy,100,This grain is the main ingredient in traditional risotto.,Arborio rice,Arborio rice,Food reference
FD_037,Food & Drink,easy-medium,200,This grain is used to make oatmeal.,oats,oats,Food reference
FD_038,Food & Drink,medium,300,This grain is ground to make most bread flour.,wheat,wheat,Food reference
FD_039,Food & Drink,medium-hard,400,This grain is the main ingredient in many tortillas.,corn,corn,Food reference
FD_040,Food & Drink,hard,500,This seed-like food is a complete protein often used like a grain.,quinoa,quinoa,Food reference
FD_041,Food & Drink,easy,100,This bean is used to make tofu.,soybean,soybean,Food reference
FD_042,Food & Drink,easy-medium,200,This bean is central to hummus.,chickpea,chickpea,Food reference
FD_043,Food & Drink,medium,300,This nut is used to make marzipan.,almond,almond,Food reference
FD_044,Food & Drink,medium-hard,400,This fruit is dried to make raisins.,grape,grape,Food reference
FD_045,Food & Drink,hard,500,This fruit is dried to make prunes.,plum,plum,Food reference
FD_046,Food & Drink,easy,100,This spice or herb is sweet brown spice often used in rolls.,cinnamon,cinnamon,Culinary reference
FD_047,Food & Drink,easy-medium,200,This spice or herb is earthy spice common in chili and tacos.,cumin,cumin,Culinary reference
FD_048,Food & Drink,medium,300,This spice or herb is yellow spice used in many curries.,turmeric,turmeric,Culinary reference
FD_049,Food & Drink,medium-hard,400,This spice or herb is expensive spice from crocus flowers.,saffron,saffron,Culinary reference
FD_050,Food & Drink,hard,500,This spice or herb is red spice made from peppers.,paprika,paprika,Culinary reference
FD_051,Food & Drink,easy,100,This spice or herb is herb common on pizza.,oregano,oregano,Culinary reference
FD_052,Food & Drink,easy-medium,200,This spice or herb is herb used in pesto.,basil,basil,Culinary reference
FD_053,Food & Drink,medium,300,This spice or herb is leafy herb also called coriander leaves.,cilantro,cilantro,Culinary reference
FD_054,Food & Drink,medium-hard,400,This spice or herb is spicy root used fresh or dried.,ginger,ginger,Culinary reference
FD_055,Food & Drink,hard,500,This spice or herb is pungent bulb used around the world.,garlic,garlic,Culinary reference
FD_056,Food & Drink,easy,100,This spice or herb is flavoring from orchid pods.,vanilla,vanilla,Culinary reference
FD_057,Food & Drink,easy-medium,200,This spice or herb is warm spice grated into desserts.,nutmeg,nutmeg,Culinary reference
FD_058,Food & Drink,medium,300,This spice or herb is strong spice shaped like a small nail.,clove,clove,Culinary reference
FD_059,Food & Drink,medium-hard,400,This spice or herb is pine-like herb used with roasted foods.,rosemary,rosemary,Culinary reference
FD_060,Food & Drink,hard,500,This spice or herb is small-leaf herb often used in soups.,thyme,thyme,Culinary reference
FD_061,Food & Drink,easy,100,This drink is made by steeping leaves from Camellia sinensis.,tea,tea,Beverage reference
FD_062,Food & Drink,easy-medium,200,This drink is brewed from roasted beans.,coffee,coffee,Beverage reference
FD_063,Food & Drink,medium,300,This drink is made by fermenting grape juice.,wine,wine,Beverage reference
FD_064,Food & Drink,medium-hard,400,This drink is made by fermenting grains and hops.,beer,beer,Beverage reference
FD_065,Food & Drink,hard,500,This Mexican spirit is made from agave.,tequila,tequila,Beverage reference
FD_066,Food & Drink,easy,100,This Japanese alcoholic drink is brewed from rice.,sake,sake,Beverage reference
FD_067,Food & Drink,easy-medium,200,This hot drink is made from cacao powder or chocolate.,hot chocolate,hot chocolate,Beverage reference
FD_068,Food & Drink,medium,300,This citrus fruit is used to make lemonade.,lemon,lemon,Beverage reference
FD_069,Food & Drink,medium-hard,400,"This drink combines yogurt, fruit, and often ice.",smoothie,smoothie,Beverage reference
FD_070,Food & Drink,hard,500,This carbonated drink is often called pop or soda.,soft drink,soft drink,Beverage reference
FD_071,Food & Drink,easy,100,This taste is associated with sugar.,sweet,sweet,Food reference
FD_072,Food & Drink,easy-medium,200,This taste is associated with lemons.,sour,sour,Food reference
FD_073,Food & Drink,medium,300,This taste is associated with salt.,salty,salty,Food reference
FD_074,Food & Drink,medium-hard,400,This taste is associated with coffee or dark greens.,bitter,bitter,Food reference
FD_075,Food & Drink,hard,500,This savory taste is often linked with glutamate.,umami,umami,Food reference
FD_076,Food & Drink,easy,100,This meal is usually eaten in the morning.,breakfast,breakfast,Food reference
FD_077,Food & Drink,easy-medium,200,This meal is usually eaten around midday.,lunch,lunch,Food reference
FD_078,Food & Drink,medium,300,This meal is usually eaten in the evening.,dinner,dinner,Food reference
FD_079,Food & Drink,medium-hard,400,This is a small dish served before a main course.,appetizer,appetizer,Food reference
FD_080,Food & Drink,hard,500,This sweet course often ends a meal.,dessert,dessert,Food reference
FD_081,Food & Drink,easy,100,This is the menu section for drinks.,beverages,beverages,Food reference
FD_082,Food & Drink,easy-medium,200,This is food prepared without meat or fish.,vegetarian,vegetarian,Food reference
FD_083,Food & Drink,medium,300,This diet excludes all animal products.,vegan,vegan,Food reference
FD_084,Food & Drink,medium-hard,400,This label means food is prepared according to Jewish dietary rules.,kosher,kosher,Food reference
FD_085,Food & Drink,hard,500,This label means permissible under Islamic dietary rules.,halal,halal,Food reference
FD_086,Food & Drink,easy,100,This kitchen tool is used to drain pasta.,colander,colander,Food reference
FD_087,Food & Drink,easy-medium,200,This tool removes the outer skin of vegetables.,peeler,peeler,Food reference
FD_088,Food & Drink,medium,300,This tool is used to shred cheese or vegetables.,grater,grater,Food reference
FD_089,Food & Drink,medium-hard,400,This pan has sloped sides and is used for quick frying.,skillet,skillet,Food reference
FD_090,Food & Drink,hard,500,This appliance keeps food cold.,refrigerator,refrigerator,Food reference
FD_091,Food & Drink,easy,100,This appliance freezes food.,freezer,freezer,Food reference
FD_092,Food & Drink,easy-medium,200,This appliance heats food quickly using microwaves.,microwave oven,microwave oven,Food reference
FD_093,Food & Drink,medium,300,This sweet spread is made from fruit and sugar.,jam,jam,Food reference
FD_094,Food & Drink,medium-hard,400,This spread is similar to jam but is strained smooth.,jelly,jelly,Food reference
FD_095,Food & Drink,hard,500,This thick soup is often made from shellfish.,bisque,bisque,Food reference
FD_096,Food & Drink,easy,100,"This Italian sauce is made from basil, pine nuts, garlic, cheese, and oil.",pesto,pesto,Food reference
FD_097,Food & Drink,easy-medium,200,This sauce is commonly served with sushi and is salty and dark.,soy sauce,soy sauce,Food reference
FD_098,Food & Drink,medium,300,This sauce is a Mexican avocado dip.,guacamole,guacamole,Food reference
FD_099,Food & Drink,medium-hard,400,This bread is flat and often used for wraps.,tortilla,tortilla,Food reference
FD_100,Food & Drink,hard,500,This Middle Eastern flatbread can open into a pocket.,pita,pita,Food reference
TI_001,Technology & Inventions,easy,100,This technology term means physical computer parts.,hardware,hardware,Computing reference
TI_002,Technology & Inventions,easy-medium,200,This technology term means programs and apps.,software,software,Computing reference
TI_003,Technology & Inventions,medium,300,This technology term means software that manages a computer.,operating system,operating system,Computing reference
TI_004,Technology & Inventions,medium-hard,400,This technology term means app used to view websites.,browser,browser,Computing reference
TI_005,Technology & Inventions,hard,500,This technology term means device that directs network traffic.,router,router,Computing reference
TI_006,Technology & Inventions,easy,100,This technology term means computer providing data or services.,server,server,Computing reference
TI_007,Technology & Inventions,easy-medium,200,This technology term means using remote servers over the internet.,cloud computing,cloud computing,Computing reference
TI_008,Technology & Inventions,medium,300,This technology term means organized collection of data.,database,database,Computing reference
TI_009,Technology & Inventions,medium-hard,400,This technology term means step-by-step procedure for solving a problem.,algorithm,algorithm,Computing reference
TI_010,Technology & Inventions,hard,500,This technology term means scrambling data to protect it.,encryption,encryption,Computing reference
TI_011,Technology & Inventions,easy,100,This technology term means secret code used to log in.,password,password,Computing reference
TI_012,Technology & Inventions,easy-medium,200,This technology term means login using a second proof.,two-factor authentication,two-factor authentication,Computing reference
TI_013,Technology & Inventions,medium,300,This technology term means harmful software.,malware,malware,Computing reference
TI_014,Technology & Inventions,medium-hard,400,This technology term means tricking people into giving private information.,phishing,phishing,Computing reference
TI_015,Technology & Inventions,hard,500,This technology term means security system that filters network traffic.,firewall,firewall,Computing reference
TI_016,Technology & Inventions,easy,100,This technology term means web address.,URL,URL,Computing reference
TI_017,Technology & Inventions,easy-medium,200,This technology term means markup language for web pages.,HTML,HTML,Computing reference
TI_018,Technology & Inventions,medium,300,This technology term means style language for web pages.,CSS,CSS,Computing reference
TI_019,Technology & Inventions,medium-hard,400,This technology term means programming language common in web browsers.,JavaScript,JavaScript,Computing reference
TI_020,Technology & Inventions,hard,500,This technology term means interface that lets programs communicate.,API,API,Computing reference
TI_021,Technology & Inventions,easy,100,This company created the iPhone.,Apple,Apple,Technology company reference
TI_022,Technology & Inventions,easy-medium,200,This company created Windows.,Microsoft,Microsoft,Technology company reference
TI_023,Technology & Inventions,medium,300,This company created Android and runs Search.,Google,Google,Technology company reference
TI_024,Technology & Inventions,medium-hard,400,This company created the PlayStation.,Sony,Sony,Technology company reference
TI_025,Technology & Inventions,hard,500,This company created the Switch game console.,Nintendo,Nintendo,Technology company reference
TI_026,Technology & Inventions,easy,100,This company is known for the Model 3 electric car.,Tesla,Tesla,Technology company reference
TI_027,Technology & Inventions,easy-medium,200,This company created the Kindle e-reader.,Amazon,Amazon,Technology company reference
TI_028,Technology & Inventions,medium,300,This company is associated with the Galaxy smartphone line.,Samsung,Samsung,Technology company reference
TI_029,Technology & Inventions,medium-hard,400,This company created the GeForce GPU brand.,Nvidia,Nvidia,Technology company reference
TI_030,Technology & Inventions,hard,500,This company created the Ryzen CPU brand.,AMD,AMD,Technology company reference
TI_031,Technology & Inventions,easy,100,This inventor is widely credited with the practical telephone.,Alexander Graham Bell,Alexander Graham Bell,Invention/history of technology reference
TI_032,Technology & Inventions,easy-medium,200,This inventor improved the practical incandescent light bulb.,Thomas Edison,Thomas Edison,Invention/history of technology reference
TI_033,Technology & Inventions,medium,300,This inventor is associated with alternating-current electrical systems.,Nikola Tesla,Nikola Tesla,Invention/history of technology reference
TI_034,Technology & Inventions,medium-hard,400,This pair are credited with the first powered airplane flight.,The Wright brothers,The Wright brothers,Invention/history of technology reference
TI_035,Technology & Inventions,hard,500,This inventor patented an early mechanical reaper.,Cyrus McCormick,Cyrus McCormick,Invention/history of technology reference
TI_036,Technology & Inventions,easy,100,This inventor developed a successful safety elevator.,Elisha Otis,Elisha Otis,Invention/history of technology reference
TI_037,Technology & Inventions,easy-medium,200,This inventor is linked with the cotton gin.,Eli Whitney,Eli Whitney,Invention/history of technology reference
TI_038,Technology & Inventions,medium,300,This scientist developed a polio vaccine used by injection.,Jonas Salk,Jonas Salk,Invention/history of technology reference
TI_039,Technology & Inventions,medium-hard,400,This computer scientist is called the father of the World Wide Web.,Tim Berners-Lee,Tim Berners-Lee,Invention/history of technology reference
TI_040,Technology & Inventions,hard,500,This engineer co-created the C programming language.,Dennis Ritchie,Dennis Ritchie,Invention/history of technology reference
TI_041,Technology & Inventions,easy,100,CPU stands for this.,Central Processing Unit,Central Processing Unit,Technology acronym reference
TI_042,Technology & Inventions,easy-medium,200,GPU stands for this.,Graphics Processing Unit,Graphics Processing Unit,Technology acronym reference
TI_043,Technology & Inventions,medium,300,RAM stands for this.,Random Access Memory,Random Access Memory,Technology acronym reference
TI_044,Technology & Inventions,medium-hard,400,SSD stands for this.,Solid State Drive,Solid State Drive,Technology acronym reference
TI_045,Technology & Inventions,hard,500,USB stands for this.,Universal Serial Bus,Universal Serial Bus,Technology acronym reference
TI_046,Technology & Inventions,easy,100,Wi-Fi commonly refers to this kind of networking.,Wireless networking,Wireless networking,Technology acronym reference
TI_047,Technology & Inventions,easy-medium,200,GPS stands for this.,Global Positioning System,Global Positioning System,Technology acronym reference
TI_048,Technology & Inventions,medium,300,AI stands for this.,Artificial Intelligence,Artificial Intelligence,Technology acronym reference
TI_049,Technology & Inventions,medium-hard,400,VR stands for this.,Virtual Reality,Virtual Reality,Technology acronym reference
TI_050,Technology & Inventions,hard,500,AR stands for this.,Augmented Reality,Augmented Reality,Technology acronym reference
TI_051,Technology & Inventions,easy,100,A computer number system using only 0 and 1 is this.,binary,binary,Computing reference
TI_052,Technology & Inventions,easy-medium,200,A single 0 or 1 in computing is this.,bit,bit,Computing reference
TI_053,Technology & Inventions,medium,300,Eight bits usually make this.,byte,byte,Computing reference
TI_054,Technology & Inventions,medium-hard,400,A thousand or 1024 bytes is commonly called this.,kilobyte,kilobyte,Computing reference
TI_055,Technology & Inventions,hard,500,A million or about 1024 squared bytes is this.,megabyte,megabyte,Computing reference
TI_056,Technology & Inventions,easy,100,A billion or about 1024 cubed bytes is this.,gigabyte,gigabyte,Computing reference
TI_057,Technology & Inventions,easy-medium,200,A trillion or about 1024 to the fourth bytes is this.,terabyte,terabyte,Computing reference
TI_058,Technology & Inventions,medium,300,This port is commonly used for wired internet networking.,Ethernet,Ethernet,Computing reference
TI_059,Technology & Inventions,medium-hard,400,This wireless technology connects short-range devices like headphones.,Bluetooth,Bluetooth,Computing reference
TI_060,Technology & Inventions,hard,500,This image code can be scanned by a phone camera to open a link.,QR code,QR code,Computing reference
TI_061,Technology & Inventions,easy,100,The keyboard shortcut Ctrl+C usually does this.,copy,copy,Computing reference
TI_062,Technology & Inventions,easy-medium,200,The keyboard shortcut Ctrl+V usually does this.,paste,paste,Computing reference
TI_063,Technology & Inventions,medium,300,The keyboard shortcut Ctrl+Z usually does this.,undo,undo,Computing reference
TI_064,Technology & Inventions,medium-hard,400,The keyboard shortcut Ctrl+S usually does this.,save,save,Computing reference
TI_065,Technology & Inventions,hard,500,The keyboard shortcut Ctrl+P usually does this.,print,print,Computing reference
TI_066,Technology & Inventions,easy,100,A file ending in .jpg is usually this type of file.,image,image,Computing reference
TI_067,Technology & Inventions,easy-medium,200,A file ending in .mp3 is usually this type of file.,audio,audio,Computing reference
TI_068,Technology & Inventions,medium,300,A file ending in .pdf is usually this type of file.,document,document,Computing reference
TI_069,Technology & Inventions,medium-hard,400,A file ending in .zip is usually this type of file.,compressed archive,compressed archive,Computing reference
TI_070,Technology & Inventions,hard,500,A file ending in .csv usually stores this.,comma-separated values,comma-separated values,Computing reference
TI_071,Technology & Inventions,easy,100,This device converts digital data into printed paper.,printer,printer,Technology reference
TI_072,Technology & Inventions,easy-medium,200,This device captures images into a computer.,scanner,scanner,Technology reference
TI_073,Technology & Inventions,medium,300,This device projects an image onto a screen.,projector,projector,Technology reference
TI_074,Technology & Inventions,medium-hard,400,This device lets you point and click.,mouse,mouse,Technology reference
TI_075,Technology & Inventions,hard,500,This device is used to type.,keyboard,keyboard,Technology reference
TI_076,Technology & Inventions,easy,100,This device records video.,camera,camera,Technology reference
TI_077,Technology & Inventions,easy-medium,200,This device provides backup power during outages.,UPS,UPS,Technology reference
TI_078,Technology & Inventions,medium,300,This device stores files externally and often connects by USB.,external hard drive,external hard drive,Technology reference
TI_079,Technology & Inventions,medium-hard,400,This device converts sound into electrical or digital signals.,microphone,microphone,Technology reference
TI_080,Technology & Inventions,hard,500,This device outputs sound.,speaker,speaker,Technology reference
TI_081,Technology & Inventions,easy,100,This renewable technology converts sunlight to electricity.,solar panel,solar panel,Technology reference
TI_082,Technology & Inventions,easy-medium,200,This vehicle technology stores energy in batteries instead of gasoline.,electric vehicle,electric vehicle,Technology reference
TI_083,Technology & Inventions,medium,300,This 3D manufacturing process builds objects layer by layer.,3D printing,3D printing,Technology reference
TI_084,Technology & Inventions,medium-hard,400,This technology identifies objects using radio-frequency tags.,RFID,RFID,Technology reference
TI_085,Technology & Inventions,hard,500,This household device controls temperature automatically.,thermostat,thermostat,Technology reference
TI_086,Technology & Inventions,easy,100,This household machine cleans clothing.,washing machine,washing machine,Technology reference
TI_087,Technology & Inventions,easy-medium,200,This machine dries clothing.,dryer,dryer,Technology reference
TI_088,Technology & Inventions,medium,300,This invention keeps food cold at home.,refrigerator,refrigerator,Technology reference
TI_089,Technology & Inventions,medium-hard,400,This invention uses radio waves to heat food quickly.,microwave oven,microwave oven,Technology reference
TI_090,Technology & Inventions,hard,500,This invention lets people take moving pictures.,motion picture camera,motion picture camera,Technology reference
TI_091,Technology & Inventions,easy,100,Review clue: This technology term means physical computer parts.,hardware,hardware,Computing reference
TI_092,Technology & Inventions,easy-medium,200,Review clue: This technology term means programs and apps.,software,software,Computing reference
TI_093,Technology & Inventions,medium,300,Review clue: This technology term means software that manages a computer.,operating system,operating system,Computing reference
TI_094,Technology & Inventions,medium-hard,400,Review clue: This technology term means app used to view websites.,browser,browser,Computing reference
TI_095,Technology & Inventions,hard,500,Review clue: This technology term means device that directs network traffic.,router,router,Computing reference
TI_096,Technology & Inventions,easy,100,Review clue: This technology term means computer providing data or services.,server,server,Computing reference
TI_097,Technology & Inventions,easy-medium,200,Review clue: This technology term means using remote servers over the internet.,cloud computing,cloud computing,Computing reference
TI_098,Technology & Inventions,medium,300,Review clue: This technology term means organized collection of data.,database,database,Computing reference
TI_099,Technology & Inventions,medium-hard,400,Review clue: This technology term means step-by-step procedure for solving a problem.,algorithm,algorithm,Computing reference
TI_100,Technology & Inventions,hard,500,Review clue: This technology term means scrambling data to protect it.,encryption,encryption,Computing reference
ML_001,Math & Logic,easy,100,The result of addition is called this.,sum,sum,Math reference
ML_002,Math & Logic,easy-medium,200,The result of subtraction is called this.,difference,difference,Math reference
ML_003,Math & Logic,medium,300,The result of multiplication is called this.,product,product,Math reference
ML_004,Math & Logic,medium-hard,400,The result of division is called this.,quotient,quotient,Math reference
ML_005,Math & Logic,hard,500,The top number of a fraction is this.,numerator,numerator,Math reference
ML_006,Math & Logic,easy,100,The bottom number of a fraction is this.,denominator,denominator,Math reference
ML_007,Math & Logic,easy-medium,200,A number divisible by 2 is called this.,even,even,Math reference
ML_008,Math & Logic,medium,300,A number not divisible by 2 is called this.,odd,odd,Math reference
ML_009,Math & Logic,medium-hard,400,A number with exactly two positive factors is this.,prime number,prime number,Math reference
ML_010,Math & Logic,hard,500,A number with more than two positive factors is this.,composite number,composite number,Math reference
ML_011,Math & Logic,easy,100,The perimeter of a square with side 5 is this.,20,20,Math reference
ML_012,Math & Logic,easy-medium,200,The area of a square with side 6 is this.,36,36,Math reference
ML_013,Math & Logic,medium,300,The area of a rectangle 4 by 9 is this.,36,36,Math reference
ML_014,Math & Logic,medium-hard,400,The perimeter of a rectangle 3 by 8 is this.,22,22,Math reference
ML_015,Math & Logic,hard,500,The area of a triangle with base 10 and height 4 is this.,20,20,Math reference
ML_016,Math & Logic,easy,100,The circumference of a circle is diameter times this constant.,pi,pi,Math reference
ML_017,Math & Logic,easy-medium,200,The radius is this fraction of the diameter.,one half,one half,Math reference
ML_018,Math & Logic,medium,300,A right angle has this many degrees.,90,90,Math reference
ML_019,Math & Logic,medium-hard,400,A straight angle has this many degrees.,180,180,Math reference
ML_020,Math & Logic,hard,500,A full circle has this many degrees.,360,360,Math reference
ML_021,Math & Logic,easy,100,2 squared equals this.,4,4,Arithmetic reference
ML_022,Math & Logic,easy-medium,200,3 squared equals this.,9,9,Arithmetic reference
ML_023,Math & Logic,medium,300,4 squared equals this.,16,16,Arithmetic reference
ML_024,Math & Logic,medium-hard,400,5 squared equals this.,25,25,Arithmetic reference
ML_025,Math & Logic,hard,500,6 squared equals this.,36,36,Arithmetic reference
ML_026,Math & Logic,easy,100,7 squared equals this.,49,49,Arithmetic reference
ML_027,Math & Logic,easy-medium,200,8 squared equals this.,64,64,Arithmetic reference
ML_028,Math & Logic,medium,300,9 squared equals this.,81,81,Arithmetic reference
ML_029,Math & Logic,medium-hard,400,10 squared equals this.,100,100,Arithmetic reference
ML_030,Math & Logic,hard,500,11 squared equals this.,121,121,Arithmetic reference
